Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Investor 1,Investor 2,Investor 3,Investor 4,No of Investors
Bytedance,$180B,07-04-2017,Artificial intelligence,Beijing,China,Asia,2012,$8B,Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group,4
SpaceX,$100B,01-12-2012,Other,Hawthorne,United States,North America,2002,$7B,Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures,,3
SHEIN,$100B,03-07-2018,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,$2B,Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners,,3
Stripe,$95B,23-01-2014,Fintech,San Francisco,United States,North America,2010,$2B,Khosla Ventures, LowercaseCapital, capitalG,,3
Klarna,$46B,12-12-2011,Fintech,Stockholm,Sweden,Europe,2005,$4B,Institutional Venture Partners, Sequoia Capital, General Atlantic,,3
Canva,$40B,08-01-2018,Internet software & services,Surry Hills,Australia,Oceania,2012,$572M,Sequoia Capital China, Blackbird Ventures, Matrix Partners,,3
Checkout.com,$40B,02-05-2019,Fintech,London,United Kingdom,Europe,2012,$2B,Tiger Global Management, Insight Partners, DST Global,,3
Instacart,$39B,30-12-2014,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,$3B,Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund,,3
JUUL Labs,$38B,20-12-2017,Consumer & retail,San Francisco,United States,North America,2015,$14B,Tiger Global Management,,,,1
Databricks,$38B,05-02-2019,Data management & analytics,San Francisco,United States,North America,2013,$3B,Andreessen Horowitz, New Enterprise Associates, Battery Ventures,,3
Revolut,$33B,26-04-2018,Fintech,London,United Kingdom,Europe,2015,$2B,index Ventures, DST Global, Ribbit Capital,,3
Epic Games,$32B,26-10-2018,Other,Cary,United States,North America,1991,$7B,Tencent Holdings, KKR, Smash Ventures,,3
FTX,$32B,20-07-2021,Fintech,,Bahamas,North America,2018,$2B,Sequoia Capital, Thoma Bravo, Softbank,,3
Fanatics,$27B,06-06-2012,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,$4B,SoftBank Group, Andreessen Horowitz, Temasek Holdings,,3
Chime,$25B,05-03-2019,Fintech,San Francisco,United States,North America,2013,$2B,Forerunner Ventures, Crosslink Capital, Homebrew,,3
BYJU's,$22B,25-07-2017,Edtech,Bengaluru,India,Asia,2008,$4B,Tencent Holdings, Lightspeed India Partners, Sequoia Capital India,,3
J&T Express,$20B,07-04-2021,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,$5B,Hillhouse Capital Management, Boyu Capital, Sequoia Capital China,,3
Xiaohongshu,$20B,31-03-2016,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,$918M,GGV Capital, ZhenFund, Tencent,,3
Miro,$18B,05-01-2022,Internet software & services,San Francisco,United States,North America,2011,$476M,Accel, AltaIR Capital, Technology Crossover Ventures,,3
Yuanfudao,$17B,31-05-2017,Edtech,Beijing,China,Asia,2012,$4B,Tencent Holdings, Warbug Pincus, IDG Capital,,3
Rapyd,$15B,03-12-2019,Fintech,London,United Kingdom,Europe,2016,$770M,Target Global, General Catalyst, Durable Capital Partners,,3
Discord,$15B,20-04-2018,Internet software & services,San Francisco,United States,North America,2012,$979M,Benchmark, Greylock Partners, Tencent Holdings,,3
Genki Forest,$15B,01-03-2020,Consumer & retail,Beijing,China,Asia,2016,$721M,Sequoia Capital China, Longfor Capitalm, Gaorong Capital,,3
goPuff,$15B,08-10-2020,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,$3B,Accel, Softbank Group, Anthos Capital,,3
Blockchain.com,$14B,17-02-2021,Fintech,London,United Kingdom,Europe,2011,$490M,Lightspeed Venture Partners, Google Ventures, Lakestar,,3
Plaid,$13B,11-12-2018,Fintech,San Francisco,United States,North America,2012,$734M,New Enterprise Associates, Spar Capital, Index Ventures,,3
Devoted Health,$13B,16-10-2018,Health,Waltham,United States,North America,2017,$2B,Andreessen Horowitz, F-Prime Capital, Venrock,,3
